District heating,Industry,9 ,9 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 
Electricity grid,Heating and cooling - homes,31 ,29 ,24 ,28 ,33 ,38 ,43 ,48 ,54 ,61 
Solid,Heating and cooling - homes,14 ,13 ,11 ,10 ,9 ,8 ,6 ,4 ,2 ,- 
Liquid,Heating and cooling - homes,13 ,12 ,10 ,9 ,8 ,7 ,5 ,4 ,2 ,- 
Gas,Heating and cooling - homes,324 ,355 ,383 ,408 ,433 ,457 ,470 ,484 ,500 ,518 
Electricity grid,Heating and cooling - commercial,29 ,31 ,35 ,37 ,38 ,38 ,37 ,36 ,34 ,31 
Solid,Heating and cooling - commercial,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Liquid,Heating and cooling - commercial,9 ,9 ,9 ,8 ,7 ,6 ,5 ,4 ,2 ,- 
Gas,Heating and cooling - commercial,78 ,81 ,85 ,91 ,98 ,105 ,113 ,122 ,131 ,141 
Electricity grid,Lighting & appliances - homes,87 ,87 ,89 ,91 ,93 ,95 ,97 ,99 ,101 ,103 
Gas,Lighting & appliances - homes,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 
Electricity grid,Lighting & appliances - commercial,73 ,73 ,75 ,77 ,80 ,82 ,84 ,87 ,90 ,92 
Gas,Lighting & appliances - commercial,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 
Electricity grid,Industry,123 ,126 ,133 ,140 ,151 ,163 ,176 ,192 ,209 ,228 
Solid,Industry,55 ,56 ,60 ,63 ,69 ,75 ,81 ,89 ,97 ,106 
Liquid,Industry,138 ,137 ,140 ,142 ,148 ,156 ,165 ,175 ,186 ,199 
Gas,Industry,217 ,210 ,209 ,209 ,217 ,227 ,241 ,258 ,278 ,301 
Electricity grid,Agriculture,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
Solid,Agriculture,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 
Liquid,Agriculture,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
Gas,Agriculture,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 
Electricity grid,Road transport,- ,- ,0 ,1 ,3 ,5 ,7 ,10 ,12 ,14 
Liquid,Road transport,491 ,470 ,445 ,424 ,390 ,351 ,344 ,334 ,328 ,322 
Electricity grid,Rail transport,9 ,8 ,8 ,8 ,8 ,8 ,7 ,7 ,7 ,7 
Liquid,Rail transport,7 ,10 ,9 ,9 ,9 ,9 ,8 ,8 ,8 ,7 
Liquid,Domestic aviation,9 ,10 ,10 ,11 ,12 ,13 ,13 ,14 ,14 ,15 
Liquid,National navigation,19 ,27 ,25 ,25 ,24 ,24 ,23 ,23 ,23 ,22 
Liquid,International aviation,153 ,125 ,142 ,161 ,171 ,179 ,191 ,195 ,196 ,189 
Liquid,International shipping,54 ,57 ,63 ,69 ,77 ,85 ,95 ,105 ,117 ,130 
Electricity grid,Geosequestration,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Gas,Losses,11 ,11 ,12 ,14 ,16 ,18 ,20 ,21 ,23 ,24 
